CUSIPs,yields,CPR,prices,,,,,,,,,,
31418XQR2,4.974,6.883802618,96.48830216,,,,,,,,,,
31415LXM4,5.03,6.883802618,96.48476747,,,,,,,,,,
31416LSA5,5.328,6.883802618,96.48476747,,,,,,,,,,
3138AYZ69,5.166,6.883802618,96.07215699,,,,,,,,,,
3138WXNG8,5.168,6.127327767,92.99669549,,,,,,,,,,
3138M7E50,5.213,6.127327767,93.14313761,,,,,,,,,,
3138WSG51,5.178,6.127327767,92.98574855,,,,,,,,,,
3138E82P6,5.213,6.127327767,93.14629885,,,,,,,,,,
3138ECNN9,5.104,5.39829934,90.65755891,,,,,,,,,row c:,PP011 - generic CPR 1 Month
3138Y8V72,5.215,6.127327767,92.56729351,,,,,,,,,constant prepayment rate; pertain to the 1 month historical prepayment experience of a generic aggregation of similar mortgages,
3138W3VD2,5.193,6.883802618,95.7889741,,,,,,,,,,
3138MKVJ2,5.229,6.127327767,93.16285778,,,,,,,,,,
3140JHYS6,5.145,6.883802618,93.95065606,,,,,,,,,,
3138MPM36,5.061,5.39829934,90.65755891,,,,,,,,,,
3138YKD42,5.158,6.127327767,92.56729351,,,,,,,,,,
3140GRZA5,5.43,6.127327767,91.33898532,,,,,,,,,,
31417EPG0,5.426,6.127327767,93.13436378,,,,,,,,,,
3140QBBK3,5.247,6.883802618,93.76743072,,,,,,,,,,
3140GWN74,5.258,6.127327767,91.34259714,,,,,,,,,,
3140F1BK7,5.204,6.127327767,91.5325425,,,,,,,,,,
3140F0EB6,5.054,5.39829934,88.451898,,,,,,,,,,
3138Y2GG2,5.123,6.883802618,95.44570452,,,,,,,,,,
3140GULA3,5.146,6.883802618,94.21686506,,,,,,,,,,
3140JVSJ2,5.324,6.127327767,90.70831805,,,,,,,,,,
3138X7MV2,5.183,6.883802618,95.7889741,,,,,,,,,,
3140JMSP8,5.181,6.883802618,93.44999625,,,,,,,,,,
3138Y53K0,5.265,6.127327767,92.56729351,,,,,,,,,,
3138XFSG1,5.107,6.883802618,95.78929656,,,,,,,,,,
3138XYKQ6,5.179,5.39829934,89.42018664,,,,,,,,,,
3138MARU4,5.233,5.39829934,90.65755891,,,,,,,,,,
3140KQ5M9,5.067,3.998832117,79.99414191,,,,,,,,,,
31405KSH5,5.12,4.606141635,92.32744998,,,,,,,,,,
3140M8SP5,5.174,5.830688467,86.6268366,,,,,,,,,,
3140H1KW9,5.16,6.883802618,94.21686506,,,,,,,,,,
3138M3DL5,5.205,5.39829934,90.34647057,,,,,,,,,,
3138M4Y30,5.267,6.883802618,95.79862332,,,,,,,,,,
3138LYKP1,5.152,6.883802618,95.79862332,,,,,,,,,,
3138LWLX7,5.064,6.127327767,93.13882384,,,,,,,,,,
3138WENY1,5.207,6.127327767,91.89959416,,,,,,,,,,
3140GR3K8,5.258,6.127327767,91.5117133,,,,,,,,,,
3138W57G7,5.134,5.39829934,90.31535867,,,,,,,,,,
3138XCEP3,5.11,6.127327767,92.98574855,,,,,,,,,,
3138Y8F54,5.047,6.883802618,95.4489294,,,,,,,,,,
31418V3J9,5.176,6.883802618,96.48920178,,,,,,,,,,
3138APJT6,5.296,6.127327767,93.13882384,,,,,,,,,,
3138AYVH9,5.13,6.883802618,96.07215699,,,,,,,,,,
3138WMCU3,5.249,5.39829934,90.30653365,,,,,,,,,,
3138M9N31,5.081,6.127327767,93.13882384,,,,,,,,,,
3138AE7B3,5.086,6.883802618,95.79824426,,,,,,,,,,
3138WT4C7,5.034,6.127327767,92.56729351,,,,,,,,,,
3138MFSF5,5.159,5.39829934,90.65755891,,,,,,,,,,
3138NWLP2,5.238,6.127327767,92.98574855,,,,,,,,,,
3138YABB0,5.18,6.883802618,95.4489294,,,,,,,,,,
3140F4C79,5.215,6.127327767,91.5325425,,,,,,,,,,
3140JQVF7,5.186,4.606141635,83.66688959,,,,,,,,,,
3140K7ZS5,5.153,6.883802618,92.35436343,,,,,,,,,,
3140JGAW5,5.15,6.127327767,90.99208984,,,,,,,,,,
3140K1BM7,5.137,5.39829934,87.39277968,,,,,,,,,,
3140EAWN9,5.219,6.127327767,91.5325425,,,,,,,,,,
3140HMHW7,5.053,6.127327767,90.99208984,,,,,,,,,,
3140K4CR9,5.144,5.39829934,87.39277968,,,,,,,,,,
3140LU5N7,5.134,5.110826022,82.93944806,,,,,,,,,,
3140L1QV0,5.094,3.998832117,79.65085511,,,,,,,,,,
3140EXY23,5.566,5.39829934,88.48040266,,,,,,,,,,
3138YATJ4,8.811,6.127327767,91.89959416,,,,,,,,,,
3138YNVM6,5.154,6.883802618,94.72610299,,,,,,,,,,
3138YFQS6,5.004,6.127327767,92.56729351,,,,,,,,,,
3138Y1TT2,5.158,6.883802618,95.45192176,,,,,,,,,,
